hotel_name,rating,count
The Westin Copley Place,Poor,122
The Westin Copley Place,Terrible,53
"The Ritz-Carlton, Boston",Excellent,350
"The Ritz-Carlton, Boston",Very good,116
"The Ritz-Carlton, Boston",Average,51
"The Ritz-Carlton, Boston",Poor,34
"The Ritz-Carlton, Boston",Terrible,6
"The Envoy Hotel, Autograph Collection",Excellent,184
"The Envoy Hotel, Autograph Collection",Very good,72
"The Envoy Hotel, Autograph Collection",Average,29
"The Envoy Hotel, Autograph Collection",Poor,22
"The Envoy Hotel, Autograph Collection",Terrible,4
Newbury Guest House,Excellent,215
Newbury Guest House,Very good,194
Newbury Guest House,Average,50
Newbury Guest House,Poor,20
Newbury Guest House,Terrible,16
Hyatt Regency Boston,Excellent,"1,177"
Hyatt Regency Boston,Very good,965
Hyatt Regency Boston,Average,441
Hyatt Regency Boston,Poor,160
Hyatt Regency Boston,Terrible,72
Hyatt Regency Boston Harbor,Excellent,904
Hyatt Regency Boston Harbor,Very good,641
Hyatt Regency Boston Harbor,Average,222
Hyatt Regency Boston Harbor,Poor,99
Hyatt Regency Boston Harbor,Terrible,46
Onyx Hotel - a Kimpton Hotel,Excellent,602
Onyx Hotel - a Kimpton Hotel,Very good,397
Onyx Hotel - a Kimpton Hotel,Average,128
Onyx Hotel - a Kimpton Hotel,Poor,51
Onyx Hotel - a Kimpton Hotel,Terrible,23
Boston Marriott Long Wharf,Excellent,896
Boston Marriott Long Wharf,Very good,628
Boston Marriott Long Wharf,Average,192
Boston Marriott Long Wharf,Poor,78
Boston Marriott Long Wharf,Terrible,32
Revere Hotel Boston Common,Excellent,"1,622"
Revere Hotel Boston Common,Very good,936
Revere Hotel Boston Common,Average,306
Revere Hotel Boston Common,Poor,78
Revere Hotel Boston Common,Terrible,51
The Westin Boston Waterfront,Excellent,938
The Westin Boston Waterfront,Very good,855
The Westin Boston Waterfront,Average,315
The Westin Boston Waterfront,Poor,102
The Westin Boston Waterfront,Terrible,58
The Liberty Hotel,Excellent,122
The Liberty Hotel,Very good,65
The Liberty Hotel,Average,18
The Liberty Hotel,Poor,10
The Liberty Hotel,Terrible,8
Ames Boston Hotel,Excellent,532
Ames Boston Hotel,Very good,318
Ames Boston Hotel,Average,108
Ames Boston Hotel,Poor,46
Ames Boston Hotel,Terrible,15
The Inn At St Botolph,Excellent,349
The Inn At St Botolph,Very good,115
The Inn At St Botolph,Average,25
The Inn At St Botolph,Poor,10
The Inn At St Botolph,Terrible,2
"Battery Wharf Hotel, Boston Waterfront",Excellent,679
"Battery Wharf Hotel, Boston Waterfront",Very good,250
"Battery Wharf Hotel, Boston Waterfront",Average,107
"Battery Wharf Hotel, Boston Waterfront",Poor,29
"Battery Wharf Hotel, Boston Waterfront",Terrible,19
Renaissance Boston Waterfront Hotel,Excellent,471
Renaissance Boston Waterfront Hotel,Very good,500
Renaissance Boston Waterfront Hotel,Average,138
Renaissance Boston Waterfront Hotel,Poor,43
Renaissance Boston Waterfront Hotel,Terrible,20
DoubleTree by Hilton Hotel Boston - Downtown,Excellent,462
DoubleTree by Hilton Hotel Boston - Downtown,Very good,374
DoubleTree by Hilton Hotel Boston - Downtown,Average,146
DoubleTree by Hilton Hotel Boston - Downtown,Poor,42
DoubleTree by Hilton Hotel Boston - Downtown,Terrible,21
Sheraton Boston Hotel,Excellent,647
Sheraton Boston Hotel,Very good,609
Sheraton Boston Hotel,Average,220
Sheraton Boston Hotel,Poor,51
Sheraton Boston Hotel,Terrible,52
Club Quarters Hotel in Boston,Excellent,681
Club Quarters Hotel in Boston,Very good,495
